"","Rank & Title","IMDb Rating"
"57","57.
      WALL·E
        (2008)",8.4
"58","58.
      The Lives of Others
        (2006)",8.4
"59","59.
      Sunset Blvd.
        (1950)",8.4
"60","60.
      Paths of Glory
        (1957)",8.4
"61","61.
      The Shining
        (1980)",8.4
"62","62.
      The Great Dictator
        (1940)",8.4
"63","63.
      Avengers: Infinity War
        (2018)",8.4
"64","64.
      Witness for the Prosecution
        (1957)",8.4
"65","65.
      Aliens
        (1986)",8.3
"66","66.
      Spider-Man: Into the Spider-Verse
        (2018)",8.3
"67","67.
      American Beauty
        (1999)",8.3
"68","68.
      Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
        (1964)",8.3
"69","69.
      The Dark Knight Rises
        (2012)",8.3
"70","70.
      Oldeuboi
        (2003)",8.3
"71","71.
      Inglourious Basterds
        (2009)",8.3
"72","72.
      Amadeus
        (1984)",8.3
"73","73.
      Coco
        (2017)",8.3
"74","74.
      Toy Story
        (1995)",8.3
"75","75.
      Joker
        (2019)",8.3
"76","76.
      Braveheart
        (1995)",8.3
"77","77.
      Das Boot
        (1981)",8.3
"78","78.
      Avengers: Endgame
        (2019)",8.3
"79","79.
      Mononoke-hime
        (1997)",8.3
"80","80.
      Once Upon a Time in America
        (1984)",8.3
"81","81.
      Good Will Hunting
        (1997)",8.3
"82","82.
      Kimi no na wa.
        (2016)",8.3
"83","83.
      3 Idiots
        (2009)",8.3
"84","84.
      Singin' in the Rain
        (1952)",8.3
"85","85.
      Requiem for a Dream
        (2000)",8.3
"86","86.
      Toy Story 3
        (2010)",8.3
"87","87.
      Tengoku to jigoku
        (1963)",8.3
"88","88.
      Capharnaüm
        (2018)",8.3
"89","89.
      Star Wars: Episode VI - Return of the Jedi
        (1983)",8.3
"90","90.
      Eternal Sunshine of the Spotless Mind
        (2004)",8.3
"91","91.
      2001: A Space Odyssey
        (1968)",8.3
"92","92.
      Reservoir Dogs
        (1992)",8.3
"93","93.
      Idi i smotri
        (1985)",8.3
"94","94.
      Jagten
        (2012)",8.3
"95","95.
      Citizen Kane
        (1941)",8.3
"96","96.
      M - Eine Stadt sucht einen Mörder
        (1931)",8.3
"97","97.
      Lawrence of Arabia
        (1962)",8.3
"98","98.
      North by Northwest
        (1959)",8.2
"99","99.
      Vertigo
        (1958)",8.2
"100","100.
      Le fabuleux destin d'Amélie Poulain
        (2001)",8.2
"101","101.
      Ikiru
        (1952)",8.2
